,features
CXCL1_GRM7,0.0
TNFSF13B_TFRC,0.0
PPY_GRM7,0.0
CXCL9_GRM7,0.0
CCL20_GRM7,0.0
CCL28_GRM7,0.0
CORT_GRM7,0.0
ANXA1_GRM7,0.0
EFNA3_EPHA2,0.0
EFNA1_EPHA2,0.0
EFNA4_EPHA2,0.0
SEMA4D_PLXNB1,0.0
SEMA4A_PLXNB1,0.0
GNAS_AVPR2,0.0
TGFB2_TGFBR2,0.0
S100A10_TRPV6,0.0
ADM_CALCR,0.0
ADM2_CALCR,0.0
GSTO1_RYR1,0.0
INSL3_ADRB3,0.0
GNAS_ADRB3,0.0
ADM2_ADRB3,0.0
F11_GP1BA,0.0
RTN4_RTN4RL1,0.0
DKK1_KREMEN1,0.0
DKK3_KREMEN1,0.0
BSG_SELE,0.0
AFDN_EPHB3,0.0
CCL25_CCR10,0.0
CCL7_CCR10,0.0
CCL28_CCR10,0.0
CXCL12_CCR4,0.0
NTN4_UNC5A,0.0
PTGS2_PTGDR2,0.0
FAM3C_LAMP1,0.0
AMELX_LAMP1,0.0
F10_F3,0.0
IL6_F3,0.0
F7_F3,0.0
PTN_PTPRB,0.0
APOD_LEPR,0.0
RLN2_RXFP3,0.0
CD274_PDCD1,0.0
TNFSF18_TNFRSF18,0.0
HLA-B_KIR3DL2,0.0
PTHLH_VIPR1,0.0
POMC_VIPR1,0.0
RLN2_VIPR1,0.0
ADCYAP1_VIPR1,0.0
CALCA_VIPR1,0.0
ADM_VIPR1,0.0
VIP_VIPR1,0.0
ADM2_VIPR1,0.0
GNAS_VIPR1,0.0
PTMA_VIPR1,0.0
CALM1_VIPR1,0.0
INSL3_VIPR1,0.0
GHRL_GPR39,0.0
IFNL1_IFNLR1,0.0
IL24_IL20RB,0.0
IL19_IL20RB,0.0
PDCD1LG2_PDCD1,0.0
EFNA3_EPHA3,0.0
VIP_ADRB3,0.0
TNF_TRADD,0.0
ANXA1_FPR3,0.0
B2M_KIR2DL3,0.0
HLA-A_KIR2DL3,0.0
CXCL9_KIR2DL3,0.0
HLA-C_KIR2DL3,0.0
HLA-B_KIR2DL3,0.0
NRG3_ERBB4,0.0
NRG1_ERBB4,0.0
NRG4_ERBB4,0.0
NRG2_ERBB4,0.0
BTC_ERBB4,0.0
CD5L_CD5,0.0
PTHLH_ADRB3,0.0
POMC_ADRB3,0.0
RLN2_ADRB3,0.0
ADCYAP1_ADRB3,0.0
ADM_ADRB3,0.0
ADIPOQ_ADIPOR1,0.0
RGMA_NEO1,0.0
EFNA1_EPHA3,0.0
NPPA_NPR2,0.0
EFNA4_EPHA3,0.0
NRG1_MS4A4A,0.0
PTGS2_CAV1,0.0
HRAS_CAV1,0.0
PLAU_PLAUR,0.0
FN1_PLAUR,0.0
BMP8B_PLAUR,0.0
WNT5B_KLRG2,0.0
FGF14_FGFR3,0.0
FGF17_FGFR3,0.0
FGF16_FGFR3,0.0
FGF12_FGFR3,0.0
FGF9_FGFR3,0.0
BMP7_ACVR2B,0.0
BMP2_ACVR2B,0.0
NRG1_ADGRL1,0.0
LAMB3_COL17A1,0.0
COL4A1_CD47,0.0
C4A_CR1,0.0
NRG1_EGFR,0.0
RELN_ITGB1,0.0
TNF_VSIR,0.0
VEGFC_ITGB1,0.0
LAMA2_ITGB1,0.0
LAMB2_ITGB1,0.0
NPNT_ITGB1,0.0
DSPP_ITGB1,0.0
MDK_ITGB1,0.0
COL4A4_ITGB1,0.0
COL4A3_ITGB1,0.0
C1QA_CR1,0.0
ADAM9_ITGB1,0.0
CHAD_ITGB1,0.0
ANGPT1_ITGB1,0.0
VEGFA_ITGB1,0.0
SEMA4D_CD72,0.0
MDK_ITGA4,0.0
IL6_HRH1,0.0
SPON2_ITGB2,0.0
QRFP_QRFPR,0.0
MDK_PTPRZ1,0.0
CEACAM16_TECTA,0.0
HLA-B_LILRB2,0.0
B2M_KLRC2,0.0
HLA-G_KLRD1,0.0
B2M_KLRD1,0.0
HLA-B_KLRD1,0.0
LRPAP1_VLDLR,0.0
APOC1_VLDLR,0.0
RELN_VLDLR,0.0
ALKAL2_ALK,0.0
MDK_ALK,0.0
EFNA4_EPHA6,0.0
HLA-G_KIR3DL1,0.0
B2M_KIR3DL1,0.0
HLA-A_KIR3DL1,0.0
HLA-B_KIR3DL1,0.0
HLA-G_LILRB2,0.0
B2M_LILRB2,0.0
HLA-A_LILRB2,0.0
ICAM2_ITGB2,0.0
TNF_TRPM2,0.0
FGF1_FGFRL1,0.0
NCAM1_FGFR2,0.0
CXCL17_GPR35,0.0
SLIT2_ROBO2,0.0
B2M_HFE,0.0
RGMA_HFE,0.0
NCAM1_ROBO1,0.0
SLIT2_ROBO1,0.0
RGMA_TFR2,0.0
PPY_NPY5R,0.0
NTF4_NTRK1,0.0
B2M_CD3G,0.0
B2M_KLRC1,0.0
PTHLH_TSHR,0.0
ADCYAP1_TSHR,0.0
SPON2_ITGAM,0.0
ADCYAP1_GPR84,0.0
ASIP_MC1R,0.0
VEGFA_ITGB3,0.0
FGF12_FGFR2,0.0
FGF1_FGFR2,0.0
VEGFA_SIRPA,0.0
SEMA4D_PLXNB2,0.0
IFNE_ADGRV1,0.0
NLGN1_NRXN1,0.0
SYTL3_NRXN1,0.0
LAMA2_ITGA6,0.0
ADAM9_ITGA6,0.0
ADM_CALCRL,0.0
SLIT2_DCC,0.0
IRAK4_TLR6,0.0
FGF1_FGFR1,0.0
NCAM1_FGFR1,0.0
